Sentence,Stimulus,Transcription Rater 1,Score,Participant,Rule_Score,LLM_Score,Semantic_Similarity,Divergence_Flag,Reasoning
16.0,Me gustaría que el precio de las casas bajara,Me gustaría ser..ella...mhh..,0,AutoEIT Sample Transcriptions for Scoring(38006-2A),0,1,0.0816,False,"The learner reproduced very few words from the prompt sentence, mostly losing the meaning, as they only correctly said 'Me gustaría' and the rest of the sentence is incoherent."
17.0,Cruza a la derecha y después sigue todo recto,Cruze a la derecha de siguelo,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,2,0.8631,False,"The learner reproduced some words correctly, such as 'Cruza' and 'derecha', but altered the rest of the sentence, losing the meaning of 'después' and 'sigue todo recto' which implies continuing straight after turning right."
18.0,Ella ha terminado de pintar su apartamento,Ella terminado pintar a sus apartmento,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,2,0.9788,False,"The learner reproduced some words correctly, such as 'Ella', 'terminado', and 'pintar', but lost the meaning of 'ha terminado' and 'su apartamento', resulting in a partial preservation of the original meaning."
19.0,Me gustaría que empezara a hacer más calor pronto,Me gustaría se..[pause] xxx pronto,1,AutoEIT Sample Transcriptions for Scoring(38006-2A),1,2,0.3716,False,"The learner reproduced some words correctly ('Me gustaría', 'pronto'), but lost the meaning of the sentence due to the incorrect verb conjugation ('se..' instead of 'que empezara') and the unclear pause, indicating a partial preservation of meaning."
20.0,El niño al que se le murió el gato está triste,El niño se murió el gato es muy triste,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,2,0.9836,False,"The learner reproduced some words correctly, such as 'el niño', 'se murió', and 'triste', but the order and meaning of the sentence are partially lost due to incorrect word placement and omission of the phrase 'al que'."
21.0,Una amiga mía cuida a los niños de mi vecino,Una mía amiga cuidado a sus niños,3,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,3,0.8767,False,"The learner reproduced most of the words correctly, with only minor variations in word order and verb conjugation, preserving the meaning of the original sentence."
22.0,El gato que era negro fue perseguido por el perro,El gato-el gato quien era el nego de perro,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,1,0.6466,False,"The learner reproduced very few words correctly, and the meaning of the sentence is mostly lost due to incorrect word order and vocabulary."
23.0,Antes de poder salir él tiene que limpiar su cuarto,Antes de podai e salir..[pause] antes de xxx,1,AutoEIT Sample Transcriptions for Scoring(38006-2A),0,2,0.4144,True,"The learner reproduced some words from the prompt sentence, including 'antes de', but failed to complete the sentence, indicating a partial loss of meaning."
24.0,La cantidad de personas que fuman ha disminuido,A la cantan... [pause] muy a xxx,0,AutoEIT Sample Transcriptions for Scoring(38006-2A),0,0,0.1571,False,"The learner's utterance does not contain any meaningful words from the prompt sentence, resulting in a complete loss of meaning."
25.0,Después de llegar a casa del trabajo tomé la cena,Después de llegar [pause] al trabajo...,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),1,2,0.5202,False,"The learner reproduced some words correctly, including 'Después de llegar' and 'al trabajo', but omitted the crucial phrase 'a casa del trabajo' which is essential to convey the meaning of the original sentence, resulting in a partial preservation of meaning."
26.0,El ladrón al que atrapó la policía era famoso,X- ladróna(?)de policio que es famoso,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),1,2,0.7845,False,"The learner reproduced some words correctly, such as 'ladrón', 'policía', and 'famoso', but the meaning is partially lost due to incorrect word order and the addition of 'de' which changes the sentence's meaning."
27.0,Le pedí a un amigo que me ayudara con la tarea,Que ped-x una amigo [pause] a su tarea,2,AutoEIT Sample Transcriptions for Scoring(38006-2A),1,2,0.7346,False,"The learner reproduced some words correctly, such as 'ped-x' (pedí), 'amigo' (amigo), and 'tarea' (tarea), but the meaning is partially preserved due to the incorrect word order and missing words like 'le', 'a un', and 'que me ayudara con la'."
28.0,El examen no fue tan difícil como me habían dicho,El examen no difícil.. [pause]... [gibberish],2,AutoEIT Sample Transcriptions for Scoring(38006-2A),1,2,0.5889,False,"The learner reproduced some words from the prompt sentence, including 'El examen no', which conveys the main idea of the sentence, but the rest of the utterance is mostly lost, resulting in a partial preservation of meaning."
29.0,¿Serías tan amable de darme el libro que está en la mesa?,El libro que está en la mesa,3,AutoEIT Sample Transcriptions for Scoring(38006-2A),2,3,0.826,False,"The learner reproduced most of the words from the prompt sentence, including the key phrases 'el libro que está en la mesa', which conveys the same meaning as the original sentence, indicating that the meaning is mostly preserved."
30.0,Hay mucha gente que no toma nada para el desayuno,A mucha gente xxx...,1,AutoEIT Sample Transcriptions for Scoring(38006-2A),0,2,0.3027,True,"The learner reproduced some words from the prompt sentence, including 'mucha gente', which indicates that they partially understood the meaning of the sentence, but failed to continue with the rest of the sentence."
