Sentence,Stimulus,Transcription Rater 1,Score,Participant,Rule_Score,LLM_Score,Semantic_Similarity,Divergence_Flag,Reasoning
19.0,Me gustaría que empezara a hacer más calor pronto,Me gusta que d-crxxx calor pranto,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,2,0.6567,False,"The learner reproduced some words correctly, such as 'Me gusta' and 'calor', but the meaning is partially lost due to incorrect verb conjugation and word order."
20.0,El niño al que se le murió el gato está triste,El niño se murió el gato y triste,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.9718,False,"The learner reproduced some words correctly, such as 'el niño' and 'triste', but lost the meaning of the sentence by changing the word order and omitting the phrase 'al que se le murió'."
21.0,Una amiga mía cuida a los niños de mi vecino,Una amigo que niña ha cuidado,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,2,0.67,False,"The learner reproduced some words correctly, such as 'amigo' and 'cuidado', but the meaning is partially lost due to incorrect word order and missing words like 'mi vecino' and 'los niños'."
22.0,El gato que era negro fue perseguido por el perro,El gato negro se fuera el perro son,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.7527,False,"The learner reproduced some words correctly, such as 'gato', 'negro', and 'perro', but the sentence structure and meaning are partially lost due to incorrect verb conjugation and word order."
23.0,Antes de poder salir él tiene que limpiar su cuarto,Antes de salir limpio.. el caso,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,1,0.607,False,"The learner reproduced very few words from the prompt sentence, and the meaning is mostly lost due to the incorrect and unrelated words used."
24.0,La cantidad de personas que fuman ha disminuido,la cantidad de las personas fe-xxx fumar,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.7737,False,"The learner reproduced some words correctly, such as 'la cantidad de las personas', but made significant errors in verb conjugation and word order, resulting in a partial preservation of the meaning."
25.0,Después de llegar a casa del trabajo tomé la cena,Después de llegar la casa pone cena,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.8476,False,"The learner reproduced some words correctly, such as 'después de llegar', but made significant errors in the sentence structure and word order, resulting in a partial preservation of the meaning."
26.0,El ladrón al que atrapó la policía era famoso,El xxx la policía es famoso,1,AutoEIT Sample Transcriptions for Scoring(38002-2A),1,1,0.7214,False,"The learner reproduced very few words correctly, and the meaning of the sentence is mostly lost due to incorrect word order and missing words."
27.0,Le pedí a un amigo que me ayudara con la tarea,Le pedí un amigo con ayuda con mí tarea,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.9678,False,"The learner reproduced some words correctly, such as 'Le pedí', 'un amigo', and 'tarea', but altered the meaning by changing 'me ayudara' to 'con ayuda con mí', indicating partial meaning preservation."
28.0,El examen no fue tan difícil como me habían dicho,El examen no es difícil cuando me xxx...,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.819,False,"The learner reproduced some words correctly, including 'El examen no es difícil', which preserves the meaning of the original sentence, but failed to complete the sentence and lost some of the original meaning."
29.0,¿Serías tan amable de darme el libro que está en la mesa?,El libro están en la mesa.,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.8296,False,"The learner reproduced some words from the prompt sentence, such as 'el libro' and 'en la mesa', but lost the polite request and the verb conjugation, resulting in a partial preservation of the meaning."
30.0,Hay mucha gente que no toma nada para el desayuno,Hay mucho gente no quiere desayuno,2,AutoEIT Sample Transcriptions for Scoring(38002-2A),2,2,0.9308,False,"The learner reproduced some words correctly, such as 'Hay', 'mucho', 'gente', and 'no', but lost the meaning of the sentence by omitting 'quiere' and changing 'toma nada' to 'no quiere desayuno', which implies a desire not to have breakfast rather than not eating anything for breakfast."
